Date,SPY,QQQ,GLD,Equal Weight Portfolio
2021-07-07,0.10725659002777357,0.15245816100089976,0.13174655641025862,0.10726486357314877
2021-07-08,0.10858032816355238,0.15205462264061015,0.13014241850451674,0.1067962815026011
2021-07-09,0.10959809434828993,0.15207939084585476,0.12925005808056145,0.10742988671535354
2021-07-12,0.10971392061601141,0.15209436626125972,0.12859769926886122,0.10725080769474876
2021-07-13,0.1099968222492695,0.1506226135067348,0.12794454472437297,0.1065401470562302
2021-07-14,0.10964681025170518,0.14827064782280328,0.12913850408953112,0.10572123151273048
2021-07-15,0.1081824413201485,0.14645138693760115,0.12532261220624102,0.10272458171938838
2021-07-16,0.10941169613094226,0.14755520009059425,0.12647882952823772,0.10422924466786498
2021-07-19,0.11314238956265717,0.14730556342956144,0.1263336234530857,0.10467783335107435
2021-07-20,0.11536590074949377,0.14794572591589095,0.1262110077032167,0.10543012755173851
2021-07-21,0.11498022802837189,0.14778251891503807,0.12493254662383428,0.10420451296194073
2021-07-22,0.11322995595205827,0.1457454388443199,0.12426615574199264,0.1024051283133826
2021-07-23,0.11303819127383209,0.1454711698869675,0.12418149343545783,0.10234848101129856
2021-07-26,0.11305577277231314,0.14509611771126724,0.1241912781738059,0.102182938396513
2021-07-27,0.1135689328474195,0.14675045363405273,0.12410710392250739,0.10256924569051946
2021-07-28,0.11357430559733439,0.14655380840185342,0.12436544312359224,0.10263212555557133
2021-07-29,0.11322292623348879,0.14648143554256277,0.12590462191936877,0.10307183832536043
2021-07-30,0.11281838648969533,0.14621530253603635,0.12678958791954628,0.10319843760809012
2021-08-02,0.11294108361314374,0.14562372203473586,0.12423086872002002,0.10315098209004642
2021-08-03,0.11297865674770577,0.1404931073320544,0.1233020712263153,0.10081952370140394
2021-08-04,0.11359522351793816,0.1401133520844693,0.12305520687813888,0.10089897154217001
2021-08-05,0.113226115029967,0.13993509514091232,0.11869517061335023,0.09902580871605002
2021-08-06,0.11249770614930334,0.13987054417733136,0.12727977988535885,0.09994116872952001
2021-08-09,0.11042459388359699,0.12879376950407947,0.1315603757993152,0.09808904676205837
2021-08-10,0.10857875293339134,0.12941185586413714,0.1315653537602633,0.09781870264128811
2021-08-11,0.09861801715634559,0.11667820970321961,0.1335211993670028,0.08954641940822826
2021-08-12,0.09633666994296276,0.11619466179984067,0.13319367957031336,0.08849330031149798
2021-08-13,0.09205505443706294,0.10904993618450763,0.13513756377437877,0.08423090655739748
2021-08-16,0.09177706189667828,0.10786818979704949,0.13334116831735768,0.08430180585347219
2021-08-17,0.09096775948555814,0.10862929781015668,0.1332454429729228,0.08462843869471597
2021-08-18,0.09388754592527873,0.1111028869910516,0.1332495430384844,0.08591050232909199
2021-08-19,0.09183217502475126,0.10548195519393905,0.13288543313660336,0.08307219636271712
2021-08-20,0.09280504342463365,0.10586901041428191,0.13288891029817823,0.0836728368020815
2021-08-23,0.09229033080135142,0.10486319739780121,0.13532514405493168,0.0848274666472337
2021-08-24,0.09204789223581591,0.1048845938353598,0.13387215995782561,0.08474235894077357
2021-08-25,0.09205231247123292,0.10484541919568835,0.1344202982984813,0.08482799503979692
2021-08-26,0.09312430891814415,0.10553997499752629,0.13445739502114143,0.08522597016746361
2021-08-27,0.09444145645564,0.10668727964614498,0.13788457684382965,0.08770580948560482
2021-08-30,0.0945649614390303,0.10773832255257791,0.13808869271918325,0.08764812821917146
2021-08-31,0.09472056557240692,0.10790187600361652,0.13773049431300666,0.08758251982082892
2021-09-01,0.09420368172433806,0.10486724966954329,0.1323364688150146,0.08407589696916307
2021-09-02,0.09291582172792343,0.10067259590632936,0.13040336269148087,0.08091751578765621
2021-09-03,0.09285879515933004,0.10067647255997231,0.13205792022665364,0.08121859698129019
2021-09-07,0.09332877458181509,0.10063500336943862,0.13734360395127926,0.08276919626186799
2021-09-08,0.09329913658296084,0.10117982695640322,0.13736721140155345,0.08293367355966698
2021-09-09,0.09364055541086368,0.1002773346624672,0.13738713736830724,0.0821963929642046
2021-09-10,0.09529550633494659,0.10198869183867663,0.13603359050581973,0.08334629550154614
2021-09-13,0.09531674355863559,0.10078481322272943,0.1358758745422128,0.08333058848358917
2021-09-14,0.0959878671594941,0.09986480498007318,0.13644282777921757,0.0828397332562327
